#Constants		pitch_P		pitch_I		pitch_D
#PIDValues		1500		0		50
#Constants		roll_P		roll_I		roll_D
#PIDValues		0		0		0
&ms	m1/1300	m2/1300	m3/1300	m4/1300	degrees	degrees	degrees	degrees	dM/13	dM/13	dM/13	dM/13
%Time	Motor_1	Motor_2	Motor_3	Motor_4	Pitch	Roll	pit_err	rol_err	pPID_p	dPID_p	pPID_r	dPID_r
0	0	0	0	0	0	0	0	0	0	0	0	0
1	0	0	0	0	180	90	0	0	0	0	0	0
2	0	0	0	0	45	108	0	0	0	0	0	0
3	1300	650	1300	650	45	108	0	0	0	0	0	0
4	910	910	910	910	-68.7173	-6.58024	0	0	0	0	0	0
5	910	910	910	910	-68.7145	-6.57418	0	0	0	0	0	0
6	910	910	910	910	-68.7136	-6.55742	0	0	0	0	0	0
7	910	910	910	910	-68.7104	-6.57143	0	0	0	0	0	0
8	910	910	910	910	-68.7173	-6.58513	0	0	0	0	0	0
9	910	910	910	910	-68.7105	-6.59821	0	0	0	0	0	0
10	910	910	910	910	-68.7093	-6.58017	0	0	0	0	0	0
11	910	910	910	910	-68.7156	-6.57196	0	0	0	0	0	0
12	910	910	910	910	-68.7112	-6.60286	0	0	0	0	0	0
13	910	910	910	910	-68.7201	-6.5617	0	0	0	0	0	0
14	910	910	910	910	-68.7108	-6.58283	0	0	0	0	0	0
15	910	910	910	910	-68.7195	-6.5686	0	0	0	0	0	0
16	910	910	910	910	-68.7142	-6.56762	0	0	0	0	0	0
17	910	910	910	910	-68.7143	-6.57921	0	0	0	0	0	0
18	910	910	910	910	-68.717	-6.58228	0	0	0	0	0	0
19	910	910	910	910	-68.7133	-6.56944	0	0	0	0	0	0
20	910	910	910	910	-68.7122	-6.59382	0	0	0	0	0	0
21	910	910	910	910	-68.7156	-6.56864	0	0	0	0	0	0
22	910	910	910	910	-68.7165	-6.57375	0	0	0	0	0	0
23	910	910	910	910	-68.7064	-6.58956	0	0	0	0	0	0
24	910	910	910	910	-68.7106	-6.57736	0	0	0	0	0	0
25	910	910	910	910	-68.7102	-6.57218	0	0	0	0	0	0
26	910	910	910	910	-68.7134	-6.56109	0	0	0	0	0	0
27	910	910	910	910	-68.7116	-6.57292	0	0	0	0	0	0
28	910	910	910	910	-68.7101	-6.58784	0	0	0	0	0	0
29	910	910	910	910	-68.7125	-6.60086	0	0	0	0	0	0
30	910	910	910	910	-68.7082	-6.58193	0	0	0	0	0	0
31	910	910	910	910	-68.7107	-6.57204	0	0	0	0	0	0
32	910	910	910	910	-68.7102	-6.76534	0	0	0	0	0	0
33	910	910	910	910	-68.7167	-6.56736	0	0	0	0	0	0
34	910	910	910	910	-68.7109	-6.57658	0	0	0	0	0	0
35	910	910	910	910	-68.7151	-6.59004	0	0	0	0	0	0
36	910	910	910	910	-68.7074	-6.6021	0	0	0	0	0	0
37	910	910	910	910	-68.7135	-6.58856	0	0	0	0	0	0
38	910	910	910	910	-68.7138	-6.57383	0	0	0	0	0	0
39	910	910	910	910	-68.7144	-6.58388	0	0	0	0	0	0
40	910	910	910	910	-68.7203	-6.5536	0	0	0	0	0	0
41	910	910	910	910	-68.714	-6.57405	0	0	0	0	0	0
42	910	910	910	910	-68.7133	-6.58134	0	0	0	0	0	0
43	910	910	910	910	-68.7154	-6.59638	0	0	0	0	0	0
44	910	910	910	910	-68.7164	-6.56909	0	0	0	0	0	0
45	910	910	910	910	-68.7093	-6.55694	0	0	0	0	0	0
46	910	910	910	910	-68.7157	-6.56219	0	0	0	0	0	0
47	910	910	910	910	-68.7122	-6.60371	0	0	0	0	0	0
48	910	910	910	910	-68.714	-6.60158	0	0	0	0	0	0
49	910	910	910	910	-68.7124	-6.5949	0	0	0	0	0	0
50	910	910	910	910	-68.7151	-6.58733	0	0	0	0	0	0
51	910	910	910	910	-68.7081	-6.57174	0	0	0	0	0	0
52	910	910	910	910	-68.7127	-6.58671	0	0	0	0	0	0
53	910	910	910	910	-68.7087	-6.58966	0	0	0	0	0	0
54	910	910	910	910	-68.7138	-6.58047	0	0	0	0	0	0
55	910	910	910	910	-68.7119	-6.54723	0	0	0	0	0	0
56	910	910	910	910	-68.7136	-6.58857	0	0	0	0	0	0
57	910	910	910	910	-68.7083	-6.59339	0	0	0	0	0	0
58	910	910	910	910	-68.7187	-6.56435	0	0	0	0	0	0
59	910	910	910	910	-68.7099	-6.58143	0	0	0	0	0	0
60	910	910	910	910	-68.7163	-6.59263	0	0	0	0	0	0
61	910	910	910	910	-68.713	-6.59823	0	0	0	0	0	0
62	910	910	910	910	-68.7117	-6.59404	0	0	0	0	0	0
63	910	910	910	910	-68.7119	-6.59341	0	0	0	0	0	0
64	910	910	910	910	-68.7118	-6.582	0	0	0	0	0	0
65	910	910	910	910	-68.7115	-6.58575	0	0	0	0	0	0
66	910	910	910	910	-68.7094	-6.60455	0	0	0	0	0	0
67	910	910	910	910	-68.7092	-6.57272	0	0	0	0	0	0
68	910	910	910	910	-68.7144	-6.58776	0	0	0	0	0	0
69	910	910	910	910	-68.7171	-6.59279	0	0	0	0	0	0
70	910	910	910	910	-68.7129	-6.59011	0	0	0	0	0	0
71	910	910	910	910	-68.7124	-6.57662	0	0	0	0	0	0
72	910	910	910	910	-68.7117	-6.60702	0	0	0	0	0	0
73	910	910	910	910	-68.7108	-6.59913	0	0	0	0	0	0
74	910	910	910	910	-68.7122	-6.58844	0	0	0	0	0	0
75	910	910	910	910	-68.7155	-6.567	0	0	0	0	0	0
76	910	910	910	910	-68.7119	-6.57231	0	0	0	0	0	0
77	910	910	910	910	-68.7118	-6.59065	0	0	0	0	0	0
78	910	910	910	910	-68.7073	-6.60729	0	0	0	0	0	0
79	910	910	910	910	-68.7051	-6.59932	0	0	0	0	0	0
80	910	910	910	910	-68.71	-6.57274	0	0	0	0	0	0
81	910	910	910	910	-68.7114	-6.57201	0	0	0	0	0	0
82	910	910	910	910	-68.7138	-6.57372	0	0	0	0	0	0
83	910	910	910	910	-68.713	-6.57689	0	0	0	0	0	0
84	910	910	910	910	-68.7105	-6.75632	0	0	0	0	0	0
85	910	910	910	910	-68.7091	-6.59362	0	0	0	0	0	0
86	910	910	910	910	-68.7123	-6.58743	0	0	0	0	0	0
87	910	910	910	910	-68.7127	-6.57815	0	0	0	0	0	0
88	910	910	910	910	-68.7174	-6.58048	0	0	0	0	0	0
89	910	910	910	910	-68.7111	-6.56357	0	0	0	0	0	0
90	910	910	910	910	-68.718	-6.56835	0	0	0	0	0	0
91	910	910	910	910	-68.7184	-6.5511	0	0	0	0	0	0
92	910	910	910	910	-68.7165	-6.58079	0	0	0	0	0	0
93	910	910	910	910	-68.7146	-6.5955	0	0	0	0	0	0
94	910	910	910	910	-68.7149	-6.5787	0	0	0	0	0	0
95	910	910	910	910	-68.7127	-6.58877	0	0	0	0	0	0
96	910	910	910	910	-68.714	-6.55813	0	0	0	0	0	0
97	910	910	910	910	-68.7137	-6.57877	0	0	0	0	0	0
98	910	910	910	910	-68.7116	-6.60083	0	0	0	0	0	0
99	910	910	910	910	-68.7126	-6.59024	0	0	0	0	0	0
100	910	910	910	910	-68.7119	-6.59156	0	0	0	0	0	0
101	910	910	910	910	-68.7117	-6.59362	0	0	0	0	0	0
102	910	910	910	910	-68.7115	-6.59028	0	0	0	0	0	0
103	910	910	910	910	-68.7129	-6.54188	0	0	0	0	0	0
104	910	910	910	910	-68.709	-6.59028	0	0	0	0	0	0
105	910	910	910	910	-68.7126	-6.57901	0	0	0	0	0	0
106	910	910	910	910	-68.7088	-6.59052	0	0	0	0	0	0
